PSRJ,P0,P1,W50,S1400,DM ,SPINDX
J1125-5825,0.003102,6.09e-20,0.00031,0.86,124.79 ,-1.6
J1125-6014,0.002630,4.01e-21,0.00021,0.05,52.95 ,-1.6
J1126-6054,0.202737,2.81e-16,0.0035,1.40,280.27 ,-1.6
J1126-6942,0.579416,3.30e-15,0.0079,0.30,55.33 ,-1.6
J1128-6219,0.515984,1.10e-17,0.093,0.27,675.00 ,-1.6
J1130-5826,0.162323,1.59e-17,0.004,0.18,261.10 ,-1.6
J1130-5925,0.680984,9.52e-16,0.016,0.12,264.40 ,-1.6
J1130-6807,0.256353,4.60e-16,0.017,0.55,148.73 ,-3.62
J1132-5627,0.175166,6.80e-17,0.0049,0.09,305.70 ,-1.6
J1133-6250,1.022875,4.52e-16,0.2577,7.00,567.80 ,-1.80
J1136+1551,1.187913,3.73e-15,0.0059,20.00,4.84 ,-1.50
J1136-5525,0.364706,8.22e-15,0.0136,6.00,85.50 ,-1.20
J1137-6700,0.556216,7.17e-17,0.0868,1.50,228.04 ,-1.6
J1138-6207,0.117564,1.25e-14,0.0078,0.57,520.40 ,-0.90
J1141-3107,0.538432,1.96e-15,0.019,0.80,30.77 ,-1.6
J1141-3322,0.291468,4.63e-16,0.0109,1.60,46.45 ,-1.20
J1141-6545,0.393899,4.31e-15,0.0044,2.40,116.08 ,-2.70
J1142-6230,0.558383,7.79e-17,0.03,0.26,343.80 ,-1.6
J1143-5158,0.675646,6.95e-16,0.0079,0.30,159.03 ,-1.6
J1143-5536,0.685358,4.85e-16,0.0107,0.20,185.00 ,-1.6
J1144-6217,0.850665,3.08e-14,0.01,0.20,284.70 ,-1.6
J1146-6030,0.273372,1.79e-15,0.0104,3.20,111.68 ,-1.60
J1148-5725,3.559937,1.11e-14,0.053,0.12,174.00 ,-1.6
J1148-6415,3.241029,2.70e-15,0.037,0.06,241.00 ,-1.6
J1151-6108,0.101633,1.03e-14,0.00565,0.06,216.00 ,-1.6
J1152-5800,1.789829,1.28e-15,0.016,0.12,191.00 ,-1.6
J1152-6012,0.376570,6.69e-15,0.0096,0.17,74.00 ,-1.6
J1154-6250,0.282012,5.59e-16,0.0059,0.07,74.00 ,-1.6
J1156-5707,0.288409,2.65e-14,0.0026,0.27,243.20 ,-1.20
J1157-6224,0.400522,3.93e-15,0.0113,14.00,325.20 ,-2.40
J1159-6409,0.667486,2.40e-17,0.21,0.47,178.00 ,-1.6
J1159-7910,0.525074,2.82e-15,0.0123,0.70,59.24 ,-2.00
J1201-6306,0.592136,3.56e-15,0.013,0.13,683.00 ,-1.6
J1202-5820,0.452801,2.13e-15,0.0088,3.00,145.41 ,-1.80
J1204-6843,0.308861,2.17e-16,0.0078,0.50,133.93 ,-1.6
J1210-5559,0.279767,7.26e-16,0.0047,2.30,174.35 ,-2.40
J1210-6550,4.237010,4.31e-16,0.039,0.17,37.00 ,-1.6
J1211-6324,0.433084,2.57e-16,0.015,0.45,333.80 ,-1.6
J1214-5830,0.909823,5.34e-17,0.0094,0.14,141.10 ,-1.6
J1215-5328,0.636414,1.15e-16,0.0348,0.50,163.00 ,-1.6
J1216-6223,0.374047,1.68e-14,0.0106,0.23,790.00 ,-1.6
J1220-6318,0.789212,8.03e-17,0.058,0.68,347.00 ,-2.87
J1222-5738,1.081164,1.50e-16,0.028,0.11,74.00 ,-1.6
J1224-6208,0.585761,2.02e-14,0.01,0.23,454.20 ,-1.6
J1224-6407,0.216476,4.95e-15,0.0055,8.90,97.69 ,-1.36
J1225-5556,1.018453,2.06e-15,0.0178,0.30,125.83 ,-1.6
J1225-6035,0.626324,2.88e-16,0.0039,0.26,176.10 ,-1.69
J1225-6408,0.419618,9.46e-16,0.0045,1.80,415.10 ,-1.6
J1227-6208,0.034528,1.87e-19,0.0013,0.22,363.00 ,-1.6
J1231-4609,0.877239,3.80e-17,0.0419,1.70,76.00 ,-1.6
J1231-6303,1.351236,1.40e-15,0.1742,1.50,301.00 ,-2.00
J1232-6501,0.088282,8.11e-19,0.011,0.34,239.40 ,-1.6
J1233-6312,0.564759,6.92e-15,0.057,0.25,414.00 ,-1.6
J1233-6344,0.756892,3.88e-15,0.012,0.07,495.00 ,-1.6
J1235-6354,0.256778,1.97e-16,0.01,0.16,439.90 ,-1.6
J1236-5033,0.294760,1.56e-16,0.0098,0.60,105.02 ,-1.6
J1237-6725,2.110974,2.19e-15,0.0534,0.40,176.50 ,-4.48
J1239+2453,1.382449,9.60e-16,0.0445,23.20,9.25 ,-1.80
J1239-6832,1.301908,1.19e-14,0.0166,0.96,94.30 ,-2.30
J1240-4124,0.512242,1.74e-15,0.004,0.60,44.10 ,-1.6
J1243-5735,0.471225,8.00e-17,0.012,0.14,270.60 ,-1.6
J1243-6423,0.388481,4.50e-15,0.005,34.20,297.25 ,-1.6
J1244-5053,0.275207,1.00e-15,0.0054,0.20,109.95 ,-1.6
J1244-6359,0.147274,4.40e-18,0.0098,0.15,286.00 ,-1.6
J1244-6531,1.546819,7.18e-15,0.021,0.17,388.00 ,-1.6
J1245-6238,2.283093,1.09e-14,0.062,0.14,336.20 ,-1.6
J1246+2253,0.473871,8.89e-17,0.0097,0.39,17.79 ,0.80
J1248-6344,0.198335,1.69e-14,0.012,0.20,433.00 ,-1.6
