PSRJ,P0,P1,W50,S1400,DM ,SPINDX
J1822-2256,1.874269,1.35e-15,0.0437,3.80,121.20 ,-1.80
J1822-4209,0.456512,4.59e-16,0.0205,0.90,72.51 ,-1.40
J1823-0154,0.759777,1.13e-15,0.0081,0.78,135.87 ,-1.6
J1823+0550,0.752907,2.27e-16,0.0102,1.70,66.78 ,-1.70
J1823-1115,0.279829,1.38e-15,0.026,3.20,428.59 ,-1.52
J1823-1126,1.846534,3.65e-14,0.023,0.51,607.00 ,-1.6
J1823-1347,0.617107,9.60e-15,0.0346,0.41,1044.00 ,-1.31
J1823-1526,1.625405,4.52e-15,0.041,0.47,611.00 ,-2.38
J1823-1807,1.636792,2.79e-16,0.0346,0.39,330.00 ,-1.6
J1823-3021B,0.378596,2.99e-17,0.006,0.07,87.01 ,-2.00
J1823-3106,0.284054,2.93e-15,0.0036,5.60,50.24 ,-1.80
J1824-0127,2.499468,3.91e-15,0.02,0.59,58.00 ,-1.6
J1824-1118,0.435759,3.55e-15,0.023,1.30,603.00 ,-2.10
J1824-1159,0.362492,5.38e-15,0.0108,0.70,463.40 ,-1.6
J1824-1350,1.396599,6.07e-16,0.0194,0.08,551.00 ,-1.6
J1824-1423,0.359394,3.92e-16,0.0099,0.80,428.30 ,-1.23
J1824-1500,0.412230,7.58e-16,0.018,0.16,571.00 ,-1.6
J1824-1945,0.189335,5.23e-15,0.0013,7.80,224.38 ,-2.00
J1824-2233,1.161743,3.01e-16,0.013,0.22,156.50 ,-1.6
J1824-2328,1.505875,1.74e-15,0.018,0.32,185.00 ,-1.6
J1824-2452A,0.003054,1.62e-18,0.000972,2.00,119.89 ,-1.6
J1825+0004,0.778949,8.76e-16,0.0103,0.40,56.62 ,-2.30
J1825-0319,0.004554,6.80e-21,0.000149,0.20,119.50 ,-1.6
J1825-0935,0.769006,5.25e-14,0.0098,10.20,19.38 ,-1.10
J1825-1108,1.925872,1.90e-15,0.0421,0.13,121.00 ,-1.6
J1825-1446,0.279187,2.27e-14,0.009,2.90,352.23 ,-0.48
J1826-1131,2.093136,4.91e-15,0.16,0.71,320.58 ,-1.40
J1826-1334,0.101487,7.53e-14,0.0059,4.70,231.00 ,-1.6
J1826-1526,0.382073,1.08e-15,0.0134,0.46,530.00 ,-2.09
J1827-0750,0.270502,1.54e-15,0.009,2.90,381.00 ,-1.60
J1827-0934,0.512548,7.23e-15,0.0195,0.29,259.20 ,-1.6
J1827-0958,0.245757,1.00e-15,0.0206,2.20,430.00 ,-2.56
J1828-0611,0.269415,1.46e-15,0.0084,1.50,363.20 ,-1.50
J1828-1007,0.153197,6.13e-16,0.0087,0.21,302.60 ,-1.6
J1828-1057,0.246328,2.07e-14,0.0099,0.33,249.00 ,-1.6
J1828-1101,0.072052,1.48e-14,0.0091,2.30,605.00 ,-0.60
J1828-1336,0.860332,9.95e-16,0.0346,0.26,494.70 ,-1.6
J1828-2119,0.514523,1.27e-15,0.028,0.38,268.00 ,-1.6
J1829-0734,0.318401,4.79e-15,0.0071,0.45,316.80 ,-1.6
J1829-1751,0.307133,5.55e-15,0.0135,11.00,217.11 ,-1.70
J1830-0052,0.345698,2.37e-16,0.0093,0.04,220.40 ,-1.6
J1830-1059,0.405043,6.00e-14,0.002,1.50,159.70 ,-0.50
J1830-1135,6.221553,4.77e-14,0.0622,1.10,257.00 ,-2.98
J1830-1313,0.747188,1.71e-15,0.038,0.26,537.00 ,-1.6
J1830-1414,0.771493,7.62e-17,0.011,0.10,393.60 ,-1.6
J1831-0823,0.612133,3.09e-16,0.0119,1.00,245.90 ,-1.90
J1831-0952,0.067267,8.32e-15,0.0074,0.35,247.00 ,-1.6
J1831-1223,2.857941,5.47e-15,0.0921,1.20,342.00 ,-1.90
J1831-1329,2.165679,2.99e-15,0.0471,0.50,338.00 ,-3.31
J1831-1423,0.507945,1.09e-15,0.023,0.19,352.00 ,-1.6
J1832+0029,0.533917,1.51e-15,0.0071,0.14,28.30 ,-1.6
J1832-0644,0.744295,3.71e-14,0.0273,0.70,578.00 ,1.00
J1832-0827,0.647293,6.39e-14,0.0038,4.00,300.87 ,-0.80
J1832-0836,0.002719,8.27e-21,5.8e-05,1.10,28.19 ,-1.6
J1832-1021,0.330354,4.20e-15,0.0064,1.90,475.70 ,-2.93
J1833-0209,0.291931,2.75e-15,0.0174,0.06,325.40 ,-1.6
J1833-0338,0.686704,4.16e-14,0.0048,2.80,234.54 ,-2.80
J1833-0556,1.521545,1.28e-15,0.069,0.20,461.00 ,-1.6
J1833-0559,0.483459,1.23e-14,0.0414,0.60,353.00 ,-1.44
J1833-0827,0.085284,9.17e-15,0.0022,6.90,410.95 ,-1.50
J1833-1034,0.061884,2.02e-13,0.0025,0.07,169.50 ,-1.6
J1833-1055,0.633640,5.27e-16,0.0242,0.50,543.00 ,-2.15
J1834-0010,0.520954,1.05e-17,0.0302,0.29,88.65 ,-1.6
J1834-0426,0.290108,7.19e-17,0.084,5.00,79.31 ,-1.30
J1834-0602,0.487914,1.83e-15,0.0168,0.80,445.00 ,-1.98
J1834-0633,0.317315,6.04e-16,0.1016,0.28,707.00 ,-1.6
J1834-0731,0.512980,5.82e-14,0.0376,1.30,294.00 ,-1.60
J1834-0742,0.788354,3.25e-14,0.018,0.35,552.00 ,-1.6
J1834-1202,0.610259,6.74e-18,0.063,0.70,342.40 ,-0.79
J1834-1710,0.358306,4.69e-17,0.0122,0.70,123.80 ,-2.20
J1834-1855,1.465656,1.93e-15,0.046,0.39,185.20 ,-2.50
J1835-0114,0.005116,7.00e-21,0.0002,0.10,98.00 ,-1.6
J1835-0349,0.841865,3.06e-15,0.015,0.16,269.60 ,-1.6
J1835-0522,1.087749,4.73e-16,0.023,0.23,456.00 ,-1.6
J1835-0643,0.305830,4.05e-14,0.0343,2.30,467.90 ,-2.01
J1835-0924,0.859192,2.14e-14,0.0416,0.55,471.00 ,-1.07
J1835-0944,0.145347,4.39e-15,0.006,0.60,276.20 ,-1.95
J1835-0946,0.379536,4.32e-17,0.004,0.18,193.30 ,-1.6
J1835-1020,0.302450,5.92e-15,0.005,1.90,113.70 ,-1.22
J1835-1106,0.165907,2.06e-14,0.0039,2.50,132.68 ,-2.10
J1835-1548,0.670486,1.74e-15,0.017,0.06,327.00 ,-1.6
J1836-0436,0.354237,1.66e-15,0.0093,2.00,231.50 ,-1.40
J1836-0517,0.457245,1.30e-15,0.013,0.15,564.00 ,-1.6
J1836-1008,0.562711,1.18e-14,0.0061,4.80,316.98 ,-2.98
J1836-1324,0.178756,1.04e-15,0.0024,0.10,157.33 ,-1.6
J1837-0045,0.617037,1.68e-15,0.0072,0.50,86.98 ,-1.6
J1837+0053,0.473513,3.77e-17,0.053,0.34,124.00 ,-1.6
J1837-0559,0.201063,3.30e-15,0.0073,0.58,319.50 ,-1.90
J1837-0604,0.096294,4.52e-14,0.0147,0.75,459.30 ,-0.80
J1837-0653,1.905809,7.72e-16,0.0503,3.50,316.10 ,-1.70
J1837+1221,1.963532,6.20e-15,0.0076,0.50,100.60 ,-1.6
J1837-1243,1.876019,3.65e-14,0.0244,0.17,300.00 ,-1.6
J1837-1837,0.618358,5.50e-15,0.0067,0.40,100.74 ,-2.69
J1838-0107,0.444426,5.46e-18,0.0344,0.05,268.90 ,-1.6
J1838-0453,0.380831,1.16e-13,0.0118,0.40,617.20 ,-1.6
J1838-0549,0.235303,3.34e-14,0.0067,0.42,276.60 ,-1.6
J1838-0624,0.927178,7.74e-17,0.036,0.16,424.00 ,-1.6
J1838-1046,1.218354,3.08e-15,0.0166,0.50,208.00 ,-3.49
J1839-0223,1.266790,4.76e-15,0.0453,0.11,330.00 ,-1.6
J1839-0321,0.238778,1.25e-14,0.0044,0.27,452.60 ,-1.6
J1839-0402,0.520940,7.69e-15,0.007,0.21,242.00 ,-1.6
J1839-0436,0.149461,8.10e-16,0.0064,0.23,292.70 ,-1.6
J1839-0459,0.585319,3.31e-15,0.0117,0.30,243.00 ,-1.6
J1839-0627,0.484914,1.32e-16,0.0232,0.29,88.50 ,-1.6
J1839-0643,0.449548,3.64e-15,0.0206,1.60,497.90 ,-1.50
J1839-0905,0.418969,2.60e-14,0.0159,0.22,344.50 ,-1.6
J1839-1238,1.911428,4.95e-15,0.026,0.37,169.80 ,-1.6
J1840+0214,0.797478,8.29e-15,0.01,0.07,182.40 ,-1.6
J1840-0559,0.859368,9.60e-15,0.016,0.31,321.70 ,-1.6
J1840-0626,1.893353,2.30e-14,0.037,0.16,748.00 ,-1.6
J1840-0753,0.437869,1.00e-16,0.1401,0.37,691.00 ,-1.6
J1840-0809,0.955672,2.35e-15,0.0074,2.50,349.80 ,-1.50
J1840-0815,1.096440,2.42e-15,0.0213,1.90,233.20 ,-2.30
J1840-0840,5.309377,2.37e-14,0.18,1.72,272.00 ,-2.34
J1840-1122,0.940962,6.41e-15,0.011,0.13,311.00 ,-1.6
J1840-1207,0.754470,3.20e-15,0.015,0.22,302.30 ,-1.6
J1841-0157,0.663321,1.81e-14,0.021,0.81,475.00 ,-1.30
J1841-0310,1.657656,3.35e-16,0.059,0.15,216.00 ,-1.6
J1841-0345,0.204068,5.79e-14,0.0112,1.30,194.32 ,-0.85
J1841-0425,0.186149,6.39e-15,0.0043,3.30,325.49 ,-1.70
J1841-0524,0.445749,2.34e-13,0.0113,0.20,284.50 ,-1.6
J1841+0912,0.381319,1.09e-15,0.0079,1.70,49.16 ,-2.00
J1841-1404,1.334557,6.41e-16,0.018,0.18,267.00 ,-1.6
J1841-7845,0.353603,1.60e-16,0.02,0.40,41.00 ,-1.6
J1842-0153,1.054228,6.72e-15,0.0214,0.60,434.00 ,-1.70
J1842+0257,3.088256,2.96e-14,0.052,0.26,148.10 ,-1.6
J1842-0309,0.404920,4.52e-15,0.043,0.25,955.00 ,-1.6
J1842+0358,0.233326,8.11e-16,0.0039,0.09,109.90 ,-1.6
J1842-0359,1.839944,5.09e-16,0.28,4.40,195.98 ,-1.50
J1842-0415,0.526682,2.19e-14,0.011,0.35,188.00 ,-0.80
J1842-0612,0.564475,2.20e-17,0.053,0.54,485.00 ,-1.6
J1842+0638,0.313016,7.60e-17,0.013,0.21,212.20 ,-1.6
J1842-0800,1.255469,1.94e-16,0.0249,0.10,188.60 ,-1.6
J1842-0905,0.344643,1.05e-14,0.00536,1.04,343.40 ,-1.40
J1842+1332,0.471604,2.29e-16,0.0884,1.00,102.50 ,-1.6
J1843-0000,0.880330,7.79e-15,0.0249,3.80,101.50 ,-1.50
J1843-0050,0.782598,2.49e-16,0.0191,0.24,507.00 ,-1.6
J1843-0137,0.669872,2.47e-15,0.017,0.26,486.00 ,-1.6
J1843-0211,2.027524,1.44e-14,0.024,0.93,441.70 ,-2.18
J1843-0355,0.132314,1.04e-15,0.0191,0.89,797.70 ,-0.30
J1843-0408,0.781934,2.39e-15,0.012,0.17,246.00 ,-1.6
J1843-0459,0.754963,8.54e-16,0.0539,1.90,444.10 ,-2.40
J1843-0510,0.671614,3.89e-15,0.024,0.07,257.00 ,-1.6
J1843-0702,0.191614,2.14e-15,0.0024,0.27,228.40 ,-1.6
J1843-0744,0.475393,1.33e-14,0.009,0.17,321.00 ,-1.6
J1843-0806,0.536414,1.74e-14,0.021,0.36,215.80 ,-2.75
J1843-1113,0.001846,9.55e-21,0.00025,0.10,59.96 ,-1.6
J1843-1448,0.005471,6.21e-21,0.001,0.57,114.51 ,-1.6
J1843-1507,0.583550,7.20e-15,0.0065,0.17,215.50 ,-1.6
J1844-0030,0.641098,6.08e-15,0.016,0.42,605.00 ,-2.81
J1844-0244,0.507722,1.67e-14,0.0173,1.10,429.00 ,-1.89
J1844-0302,1.198630,7.81e-15,0.019,0.12,533.00 ,-1.6
J1844-0310,0.525049,1.02e-14,0.0204,0.53,836.10 ,-2.14
J1844-0433,0.991027,3.91e-15,0.013,1.10,123.16 ,-1.80
J1844-0452,0.269443,6.80e-16,0.016,0.19,626.00 ,-1.6
J1844-0502,0.335163,6.18e-17,0.024,0.40,318.00 ,-1.6
J1844-0538,0.255699,9.71e-15,0.0072,3.20,411.71 ,-1.90
J1844+1454,0.375463,1.87e-15,0.0114,1.80,41.49 ,-1.95
J1845-0316,0.207636,8.86e-15,0.012,0.35,500.00 ,-2.66
J1845-0434,0.486751,1.13e-14,0.0151,2.50,230.80 ,-1.18
J1845-0545,1.092348,1.34e-14,0.018,0.47,315.90 ,-1.6
J1845+0623,1.421654,5.46e-16,0.014,0.33,113.00 ,-1.6
J1845-0635,0.340528,4.49e-15,0.0272,0.36,414.00 ,-1.6
J1845-0743,0.104695,3.67e-16,0.0018,3.70,280.93 ,-1.70
J1845-1114,0.206220,2.01e-15,0.0037,0.52,206.70 ,-1.6
J1845-1351,2.618918,9.72e-15,0.016,0.33,197.40 ,-1.6
J1846+0051,0.434373,1.12e-14,0.0282,0.34,140.00 ,-3.75
J1846-0749,0.350110,1.26e-15,0.0074,0.35,388.30 ,-1.6
J1846-07492,0.861380,5.19e-15,0.019,0.19,192.00 ,-1.6
J1846-7403,4.878839,6.06e-15,0.6099,2.90,97.00 ,-1.6
J1847-0130,6.707046,1.27e-12,0.205,0.33,667.00 ,-1.6
J1847-0402,0.597792,5.17e-14,0.0204,4.90,141.98 ,-2.30
J1847-0438,0.957991,1.09e-14,0.0113,0.50,229.00 ,-1.70
J1847-0443,0.340832,2.83e-17,0.009,0.16,454.90 ,-1.6
J1847-0605,0.778164,4.65e-15,0.0131,0.80,207.90 ,-2.50
J1848-0023,0.537624,1.61e-15,0.0177,0.60,30.60 ,-1.6
J1848-0055,0.274557,1.35e-15,0.0279,0.19,1166.00 ,-1.6
J1848-0123,0.659432,5.25e-15,0.0161,15.20,159.53 ,-1.64
J1848+0351,0.191443,6.73e-17,0.0103,0.07,336.60 ,-1.6
J1848-0511,1.637129,8.86e-15,0.099,0.40,418.00 ,-1.6
J1848+0604,2.218603,3.74e-15,0.046,0.35,242.70 ,-1.6
J1848+0647,0.505957,8.75e-15,0.013,0.17,27.90 ,-1.6
J1848+0826,0.328665,2.72e-16,0.019,0.11,90.68 ,-2.00
J1848-1150,1.312218,1.43e-15,0.032,0.21,163.40 ,-1.6
J1848-1414,0.297770,1.41e-17,0.0117,0.60,134.47 ,-2.20
J1849-0040,0.672481,1.11e-14,0.06459,0.20,1234.90 ,-1.6
J1849+0127,0.542155,2.80e-14,0.017,0.46,207.30 ,-1.6
J1849-0317,0.668408,2.20e-14,0.0232,0.70,42.90 ,-1.6
J1849+0409,0.761194,2.16e-14,0.011,0.31,56.10 ,-1.6
J1849-0614,0.953384,5.39e-14,0.014,0.59,119.60 ,-2.76
J1849-0636,1.451319,4.62e-14,0.089,1.40,148.17 ,-2.30
J1850-0006,2.191498,4.32e-15,0.139,0.80,570.00 ,-1.6
J1850-0026,0.166634,3.91e-14,0.013,1.77,947.00 ,-1.6
J1850+0026,1.081844,3.59e-16,0.0126,1.50,201.40 ,-2.21
J1850-0031,0.734185,1.26e-15,0.032,0.23,895.00 ,-1.6
J1850+0423,0.290716,9.14e-17,0.0247,0.20,265.80 ,-1.6
J1850+1335,0.345582,1.49e-15,0.0047,0.80,60.14 ,-1.50
J1851-0029,0.518721,4.74e-15,0.013,0.44,510.00 ,-1.6
J1851-0053,1.409065,8.74e-16,0.0153,0.80,24.00 ,-1.6
J1851-0114,0.953182,2.48e-15,0.025,0.28,427.20 ,-1.6
J1851+0118,0.906977,1.37e-13,0.024,0.10,418.00 ,-1.6
J1851+0233,0.344018,2.18e-15,0.0135,0.08,606.00 ,-1.6
J1851-0241,0.435194,7.96e-15,0.035,0.20,515.00 ,-1.6
J1851+0418,0.284697,1.09e-15,0.071,0.66,115.54 ,-2.09
J1851+1259,1.205303,1.15e-14,0.011,0.75,70.63 ,-1.80
J1852+0008,0.467894,5.68e-15,0.016,0.31,254.90 ,-1.6
J1852+0013,0.957751,1.40e-14,0.019,0.30,545.00 ,-1.6
J1852+0031,2.180195,9.70e-14,0.2749,5.10,787.00 ,-1.12
J1852-0118,0.451473,1.76e-15,0.024,0.35,286.00 ,-1.6
J1852-0127,0.428979,5.15e-15,0.018,0.58,431.00 ,-1.6
J1852+0305,1.326149,1.02e-16,0.0156,0.80,320.00 ,-3.27
J1852-0635,0.524151,1.46e-14,0.0798,9.50,171.00 ,-1.09
J1852-2610,0.336337,8.77e-17,0.0082,1.40,56.81 ,-1.6
J1853-0004,0.101436,5.57e-15,0.00169,0.70,437.50 ,-2.30
J1853+0011,0.397882,3.35e-14,0.0105,0.20,568.80 ,-1.6
J1853+0056,0.275578,2.14e-14,0.0085,0.21,180.90 ,-1.6
J1853+0505,0.905137,1.28e-15,0.1,1.10,279.00 ,-1.6
J1853+0545,0.126400,6.12e-16,0.0068,2.70,198.70 ,-1.20
J1853+0853,3.914658,5.13e-15,0.05,0.11,214.00 ,-1.6
J1854+0317,1.366450,1.85e-15,0.1093,0.12,404.00 ,-1.6
J1854+0319,0.628541,5.51e-17,0.0104,0.17,480.20 ,-1.6
J1854+1050,0.573197,6.39e-16,0.043,1.03,207.20 ,-2.00
J1855+0205,0.246817,6.47e-17,0.0076,0.19,867.30 ,-1.6
J1855+0306,1.633565,6.97e-15,0.0359,0.06,634.00 ,-1.6
J1855+0307,0.845348,1.81e-14,0.012,0.97,402.50 ,-1.60
J1855+0422,1.678106,9.29e-16,0.0427,0.45,438.00 ,-1.6
J1855+0527,1.393484,2.67e-13,0.003,0.24,362.00 ,-1.6
J1855+0700,0.258685,7.52e-16,0.0054,0.10,244.00 ,-1.6
J1855-0941,0.345401,2.40e-16,0.0229,0.90,151.99 ,-3.94
J1856+0102,0.620217,1.22e-15,0.0168,0.38,554.00 ,-1.6
J1856+0113,0.267440,2.08e-13,0.0038,0.19,96.74 ,-1.6
J1856+0245,0.080907,6.21e-14,0.0146,0.58,623.50 ,-1.6
J1856+0404,0.420252,3.71e-17,0.0066,0.48,341.30 ,-2.61
J1857+0057,0.356929,5.46e-17,0.022,0.92,82.39 ,-1.6
J1857+0143,0.139760,3.12e-14,0.0157,0.74,249.00 ,-1.6
J1857+0210,0.630983,1.40e-14,0.016,0.30,783.00 ,-1.6
J1857+0212,0.415823,4.03e-14,0.014,1.60,506.77 ,-1.80
J1857+0300,0.772678,2.65e-15,0.014,0.05,691.00 ,-1.6
J1857+0526,0.349951,6.93e-15,0.0097,0.66,466.40 ,-1.6
J1857+0809,0.502924,4.74e-15,0.012,0.14,282.00 ,-1.6
J1857+0943,0.005362,1.78e-20,0.000518,5.00,13.31 ,-1.60
J1858+0215,0.745828,4.61e-15,0.0325,0.22,702.00 ,-1.6
J1858+0241,4.693233,2.43e-14,0.08,0.10,336.00 ,-1.6
J1858+0319,0.867444,1.03e-16,0.0106,0.06,284.00 ,-1.6
J1858+0346,0.256844,2.04e-15,0.0367,0.19,386.00 ,-1.6
J1859+0601,1.044313,2.55e-14,0.02432,0.30,276.00 ,-1.6
J1859+0603,0.508561,1.59e-15,0.0138,0.16,378.60 ,-1.6
J1900-0051,0.385194,1.42e-16,0.0056,0.45,136.80 ,-2.63
J1900+0227,0.374262,5.71e-15,0.0173,0.33,201.10 ,-1.6
J1900+0438,0.312314,3.23e-15,0.026,0.12,627.00 ,-1.6
J1900+0634,0.389869,5.13e-15,0.0111,0.24,323.40 ,-1.6
J1900-2600,0.612209,2.05e-16,0.052,15.00,37.99 ,-1.50
J1901+0124,0.318817,3.24e-15,0.008255,0.30,314.40 ,-1.6
J1901+0156,0.288219,2.36e-15,0.0061,0.38,105.39 ,-2.90
J1901+0234,0.885240,2.30e-14,0.0204,0.14,404.00 ,-1.6
J1901+0254,1.299693,4.56e-16,0.07,0.58,185.00 ,-1.50
J1901-0312,0.355725,2.29e-15,0.0079,0.23,106.40 ,-1.6
J1901-0315,0.801693,2.57e-15,0.01,0.09,242.60 ,-1.6
J1901+0320,0.636584,5.23e-16,0.0472,0.89,393.00 ,-1.6
J1901+0331,0.655450,7.46e-15,0.011,4.20,402.08 ,-2.70
J1901+0355,0.554756,1.27e-14,0.012,0.15,547.00 ,-1.6
J1901+0413,2.663080,1.32e-13,0.091,1.20,352.00 ,-1.94
J1901+0459,0.877044,1.57e-14,0.028,0.12,1108.00 ,-1.6
J1901+0510,0.614757,3.11e-14,0.05686,0.66,429.00 ,-1.80
J1901+0511,4.600369,2.53e-14,0.0235,0.05,410.00 ,-1.6
J1901+0621,0.832002,1.80e-17,0.053,0.47,94.00 ,-1.6
J1901+0716,0.643999,2.29e-15,0.011,0.90,252.81 ,-0.60
J1901-0906,1.781928,1.64e-15,0.0416,3.50,72.68 ,-2.40
J1901-1740,1.956858,8.23e-16,0.0593,0.30,24.40 ,-1.6
J1902+0248,1.223777,2.41e-15,0.035403,0.17,272.00 ,-1.6
J1902-0340,1.524672,2.00e-15,0.025,0.22,114.00 ,-1.6
J1902+0556,0.746577,1.29e-14,0.011,1.20,177.49 ,-1.80
J1902+0615,0.673503,7.71e-15,0.0034,1.60,502.90 ,-3.27
J1902+0723,0.487813,2.10e-16,0.029,0.17,105.00 ,-1.6
J1903+0135,0.729306,4.03e-15,0.0099,5.50,245.17 ,-2.00
J1903-0258,0.301459,6.79e-16,0.0048,0.14,113.00 ,-1.6
J1903+0601,0.374117,1.92e-14,0.012,0.26,388.00 ,-1.6
J1903+0654,0.791232,1.06e-14,0.0562,0.11,329.00 ,-1.6
J1904+0004,0.139525,1.18e-16,0.0071,2.90,233.61 ,-1.80
J1904-0150,0.379387,8.90e-16,0.0056,0.09,162.20 ,-1.6
J1904+0412,0.071095,1.10e-19,0.0025,0.23,185.90 ,-1.6
J1904+0738,0.208958,4.11e-16,0.0029,0.23,278.32 ,-1.6
J1904+0800,0.263345,1.73e-14,0.0092,0.36,438.80 ,-0.61
J1904+1011,1.856570,2.76e-16,0.028,0.58,135.00 ,-1.65
J1904-1224,0.750808,7.42e-16,0.0058,0.30,118.23 ,-4.09
J1905-0056,0.643181,3.05e-15,0.0032,0.70,229.13 ,-2.19
J1905+0400,0.003784,4.91e-21,0.00059,0.05,25.69 ,-1.6
J1905+0600,0.441210,1.11e-15,0.013,0.42,730.10 ,-3.40
J1905+0616,0.989706,1.35e-13,0.021,0.51,256.05 ,-3.17
J1905+0709,0.648040,4.94e-15,0.0322,1.90,245.34 ,-2.58
J1905+0902,0.218253,3.50e-15,0.0039,0.10,433.40 ,-1.6
J1906+0414,1.043362,1.15e-14,0.022,0.23,349.00 ,-1.6
J1906+0509,0.397590,5.22e-15,0.0212,0.07,99.50 ,-1.6
J1906+0641,0.267275,2.14e-15,0.0167,2.80,472.80 ,-1.03
J1906+0649,1.286564,1.52e-16,0.037,0.30,249.00 ,-1.6
J1906+0746,0.144073,2.03e-14,0.0006,0.55,217.75 ,-1.6
J1906+0912,0.775345,1.32e-16,0.0167,0.32,265.00 ,-1.6
J1907+0249,0.351879,1.14e-15,0.0217,0.46,261.00 ,-2.25
J1907+0255,0.618761,2.23e-16,0.0308,0.14,257.00 ,-1.6
J1907+0345,0.240153,8.22e-15,0.0063,0.17,311.70 ,-1.6
J1907+0534,1.138403,3.15e-15,0.0089,0.36,524.00 ,-1.6
J1907+0631,0.323648,4.52e-13,0.0148,0.25,428.60 ,-1.6
J1907+0731,0.363676,1.84e-14,0.011,0.35,239.80 ,-1.6
J1907+0740,0.574698,6.71e-16,0.0132,0.41,332.00 ,-1.79
J1907+0859,1.527042,5.54e-15,0.0356,0.07,190.00 ,-1.6
J1907+0918,0.226107,9.43e-14,0.0016,0.20,357.90 ,-0.30
J1907+1149,1.420160,1.60e-13,0.015,0.16,202.80 ,-1.6
J1907+4002,1.235757,5.41e-16,0.0585,1.80,30.97 ,-2.00
J1908+0457,0.846793,9.80e-16,0.042,0.93,360.00 ,-2.80
J1908+0500,0.291021,2.59e-15,0.0039,0.79,201.42 ,-1.60
J1908+0734,0.212353,8.25e-16,0.0028,0.54,11.10 ,-1.6
J1908+0833,0.512111,1.99e-15,0.0146,0.20,700.10 ,-1.6
J1908+0839,0.185397,2.39e-15,0.0051,0.49,512.10 ,-1.6
J1908+0909,0.336555,3.49e-14,0.0069,0.22,467.50 ,-1.6
J1908+0916,0.830270,9.80e-17,0.026,0.23,249.80 ,-1.6
J1909+0007,1.016948,5.52e-15,0.008,0.87,112.79 ,-1.80
J1909+0254,0.989831,5.53e-15,0.011,0.63,171.73 ,-2.36
J1909+0616,0.755993,2.06e-14,0.0325,0.33,352.00 ,-1.6
J1909+0641,0.741762,3.22e-15,0.0079,0.11,36.70 ,-1.6
J1909+0749,0.237161,1.52e-13,0.0052,0.23,539.36 ,-1.6
J1909+0912,0.222949,3.58e-14,0.0105,0.40,421.50 ,-1.6
J1909+1102,0.283641,2.64e-15,0.0042,3.20,149.98 ,-2.50
J1909+1148,0.448945,7.25e-17,0.0046,0.09,199.80 ,-1.6
J1909-3744,0.002947,1.40e-20,4.4e-05,1.00,10.39 ,-1.20
J1910-0112,1.360603,1.78e-16,0.05,0.07,178.00 ,-1.6
J1910+0225,0.337855,2.62e-16,0.0164,0.60,209.00 ,-2.99
J1910-0309,0.504605,2.19e-15,0.0076,0.55,205.53 ,-2.60
J1910+0358,2.330263,4.47e-15,0.265,1.50,82.93 ,-0.70
J1910+0517,0.308048,7.30e-16,0.013,0.50,300.00 ,-1.6
J1910+0534,0.452867,1.92e-15,0.0258,0.41,484.00 ,-1.6
J1910+0714,2.712423,6.12e-15,0.022,0.36,124.06 ,-2.53
J1910+0728,0.325415,8.31e-15,0.015,0.87,283.70 ,-0.70
J1910+1231,1.441742,8.23e-15,0.018,0.28,258.64 ,-1.6
J1910-5959A,0.003266,2.95e-21,0.0004,0.21,33.70 ,-1.6
J1910-5959C,0.005277,2.16e-21,0.0013,0.24,33.21 ,-1.6
J1910-5959D,0.009035,9.64e-19,0.0007,0.05,33.28 ,-1.6
J1911-1114,0.003626,1.39e-20,0.00035,0.50,31.02 ,-2.30
J1911+1347,0.004626,1.69e-20,0.00016,0.08,30.99 ,-1.6
J1912+1036,0.409349,1.58e-14,0.015,0.22,147.00 ,-1.6
J1912+2104,2.232969,1.02e-14,0.0099,0.80,88.60 ,-1.40
J1913-0440,0.825936,4.07e-15,0.0081,6.80,89.39 ,-2.60
J1913+0446,1.616130,2.79e-13,0.016,0.48,109.10 ,-1.84
J1913+0657,1.257181,2.83e-15,0.0194,0.05,142.00 ,-1.6
J1913+0832,0.134409,4.57e-15,0.0771,0.90,355.20 ,-1.6
J1913+0904,0.163246,1.76e-14,0.00145,0.40,95.30 ,-1.6
J1913+0936,1.241965,4.32e-16,0.018,0.14,157.00 ,-1.6
J1913+1000,0.837148,1.67e-14,0.032,0.53,422.00 ,-1.53
J1913+1011,0.035909,3.37e-15,0.00162,0.90,178.80 ,-2.20
J1913+1050,0.190067,1.95e-16,0.0045,0.06,231.10 ,-1.6
J1913+1145,0.306069,5.02e-15,0.0144,0.43,637.00 ,-1.77
J1913+1400,0.521473,8.04e-16,0.0062,1.20,145.05 ,-1.40
J1914+0219,0.457527,1.02e-15,0.0133,1.60,233.80 ,-1.14
J1914+0631,0.693811,3.32e-17,0.0126,0.26,58.00 ,-1.6
J1914+1122,0.600997,6.56e-16,0.025,0.55,100.00 ,-1.6
J1915+0227,0.317306,2.99e-16,0.0073,0.40,192.60 ,-3.18
J1915+0738,1.542704,3.31e-15,0.011,0.34,39.00 ,-1.6
J1915+0752,2.058314,1.39e-16,0.024,0.21,105.30 ,-1.6
J1915+0838,0.342777,1.57e-15,0.014,0.29,358.00 ,-1.6
J1915+1009,0.404547,1.53e-14,0.0036,2.00,241.69 ,-2.00
J1915+1410,0.297494,4.89e-17,0.015,0.13,273.70 ,-1.6
J1915+1606,0.059030,8.62e-18,0.0074,0.90,168.77 ,-3.23
